"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",62.5583,36,-0.5268,63.1
02,"Arizona",62.1333,124,2.7914,59.3
03,"Arkansas",58.95,8,-1.4666,60.4
04,"California",61.325,128,3.961,57.4
05,"Colorado",46.2917,107,1.7037,44.6
06,"Connecticut",48.65,80,0.6128,48
07,"Delaware",54.8917,83,0.7052,54.2
08,"Florida",70.9833,100,0.8623,70.1
09,"Georgia",63.375,60,0.0118,63.4
10,"Idaho",45.1833,126,2.6004,42.6
11,"Illinois",50.0167,11,-1.5988,51.6
12,"Indiana",49.9,14,-1.4117,51.3
13,"Iowa",46.075,16,-1.4364,47.5
14,"Kansas",53.8917,52,-0.2381,54.1
15,"Kentucky",54.7917,32,-0.7014,55.5
16,"Louisiana",65.3917,16,-0.9947,66.4
17,"Maine",40.9833,91,0.8991,40.1
18,"Maryland",53.8167,53,0.0525,53.8
19,"Massachusetts",47.625,81,0.705,46.9
20,"Michigan",42.2417,14,-1.3021,43.5
21,"Minnesota",39.5917,45,-0.4729,40.1
22,"Mississippi",62.7583,22,-0.8697,63.6
23,"Missouri",53.325,19,-1.1723,54.5
24,"Montana",41.925,78,0.793,41.1
25,"Nebraska",48.1667,61,-0.2215,48.4
26,"Nevada",53.0833,128,3.6107,49.5
27,"New Hampshire",42.8917,76,0.5638,42.3
28,"New Jersey",52.1,78,0.659,51.4
29,"New Mexico",54.7417,116,1.9061,52.8
30,"New York",44.45,45,-0.0473,44.5
31,"North Carolina",58.6917,61,0.1622,58.5
32,"North Dakota",39.6,58,-0.0833,39.7
33,"Ohio",49.575,30,-0.8402,50.4
34,"Oklahoma",59.025,29,-0.6498,59.7
35,"Oregon",49.7417,127,3.2692,46.5
36,"Pennsylvania",47.675,33,-0.4529,48.1
37,"Rhode Island",49.6917,92,1.1306,48.6
38,"South Carolina",62.5583,70,0.16,62.4
39,"South Dakota",44.05,50,-0.5058,44.6
40,"Tennessee",57.125,31,-0.5449,57.7
41,"Texas",64.8083,58,0.1789,64.6
42,"Utah",50.5833,125,3.0561,47.5
43,"Vermont",41.75,72,0.4195,41.3
44,"Virginia",54.8083,50,-0.0013,54.8
45,"Washington",48.4583,124,2.3267,46.1
46,"West Virginia",51.225,39,-0.3544,51.6
47,"Wisconsin",41,18,-1.3556,42.4
48,"Wyoming",42.3167,105,1.5694,40.7
