"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",63.975,97,0.8898,63.1
02,"Arizona",62.1917,126,2.8497,59.3
03,"Arkansas",61.1167,89,0.7001,60.4
04,"California",60.4417,125,3.0777,57.4
05,"Colorado",47.4667,125,2.8787,44.6
06,"Connecticut",50.9667,121,2.9294,48
07,"Delaware",57.0167,118,2.8302,54.2
08,"Florida",72.1,117,1.979,70.1
09,"Georgia",64.45,104,1.0868,63.4
10,"Idaho",45.175,126,2.5921,42.6
11,"Illinois",53.1667,108,1.5513,51.6
12,"Indiana",52.9833,111,1.6717,51.3
13,"Iowa",49.2417,106,1.7303,47.5
14,"Kansas",55.7667,111,1.6369,54.1
15,"Kentucky",56.6,96,1.1069,55.5
16,"Louisiana",67.2833,103,0.897,66.4
17,"Maine",43.3417,121,3.2574,40.1
18,"Maryland",56.4667,121,2.7025,53.8
19,"Massachusetts",50.3583,124,3.4383,46.9
20,"Michigan",46.6,121,3.0563,43.5
21,"Minnesota",43.0833,118,3.0187,40.1
22,"Mississippi",64.4667,97,0.8387,63.6
23,"Missouri",55.8667,105,1.3693,54.5
24,"Montana",43.6417,114,2.5097,41.1
25,"Nebraska",50.7417,119,2.3535,48.4
26,"Nevada",52.5833,126,3.1107,49.5
27,"New Hampshire",45.375,122,3.0472,42.3
28,"New Jersey",54.6583,121,3.2173,51.4
29,"New Mexico",55.4833,125,2.6478,52.8
30,"New York",47.0333,116,2.536,44.5
31,"North Carolina",60.0667,111,1.5372,58.5
32,"North Dakota",42.775,116,3.0917,39.7
33,"Ohio",52.6,116,2.1848,50.4
34,"Oklahoma",60.575,101,0.9002,59.7
35,"Oregon",49.1917,125,2.7192,46.5
36,"Pennsylvania",50.6,120,2.4721,48.1
37,"Rhode Island",52.1333,123,3.5723,48.6
38,"South Carolina",63.525,99,1.1267,62.4
39,"South Dakota",47.4083,119,2.8526,44.6
40,"Tennessee",58.675,91,1.0051,57.7
41,"Texas",66.025,110,1.3956,64.6
42,"Utah",50.775,126,3.2477,47.5
43,"Vermont",44.225,118,2.8945,41.3
44,"Virginia",56.7417,115,1.9321,54.8
45,"Washington",47.9917,119,1.8601,46.1
46,"West Virginia",53.2,110,1.6206,51.6
47,"Wisconsin",44.8417,117,2.4861,42.4
48,"Wyoming",43.6083,124,2.8611,40.7
