"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",65.625,127,2.5398,63.1
02,"Arizona",60.3667,94,1.0247,59.3
03,"Arkansas",61.475,102,1.0584,60.4
04,"California",58.3417,93,0.9777,57.4
05,"Colorado",45.3833,90,0.7953,44.6
06,"Connecticut",50.25,109,2.2128,48
07,"Delaware",57.8667,126,3.6802,54.2
08,"Florida",73.4667,128,3.3457,70.1
09,"Georgia",66.4833,128,3.1202,63.4
10,"Idaho",43.0667,78,0.4837,42.6
11,"Illinois",52.6333,92,1.0179,51.6
12,"Indiana",53.0083,111,1.6967,51.3
13,"Iowa",47.1833,50,-0.3281,47.5
14,"Kansas",54.0417,57,-0.0881,54.1
15,"Kentucky",57.9,124,2.4069,55.5
16,"Louisiana",68.025,118,1.6387,66.4
17,"Maine",41.2333,98,1.1491,40.1
18,"Maryland",56.9833,126,3.2192,53.8
19,"Massachusetts",49.05,112,2.13,46.9
20,"Michigan",44.7833,97,1.2396,43.5
21,"Minnesota",39.925,58,-0.1396,40.1
22,"Mississippi",65.5417,122,1.9137,63.6
23,"Missouri",55.2667,93,0.7693,54.5
24,"Montana",39.7667,24,-1.3653,41.1
25,"Nebraska",47.5583,34,-0.8298,48.4
26,"Nevada",49.975,81,0.5023,49.5
27,"New Hampshire",43.85,103,1.5222,42.3
28,"New Jersey",54.75,123,3.309,51.4
29,"New Mexico",54.575,114,1.7394,52.8
30,"New York",45.9333,104,1.436,44.5
31,"North Carolina",61.6583,128,3.1289,58.5
32,"North Dakota",38.2583,27,-1.425,39.7
33,"Ohio",53.0167,123,2.6015,50.4
34,"Oklahoma",60.1917,88,0.5168,59.7
35,"Oregon",47.1083,80,0.6359,46.5
36,"Pennsylvania",50.4,117,2.2721,48.1
37,"Rhode Island",51.15,114,2.5889,48.6
38,"South Carolina",65.3167,127,2.9183,62.4
39,"South Dakota",42.5167,12,-2.0391,44.6
40,"Tennessee",60.1333,125,2.4634,57.7
41,"Texas",66.1833,116,1.5539,64.6
42,"Utah",48.0167,77,0.4894,47.5
43,"Vermont",42.5833,101,1.2528,41.3
44,"Virginia",57.8333,128,3.0237,54.8
45,"Washington",46.525,70,0.3934,46.1
46,"West Virginia",54.6,127,3.0206,51.6
47,"Wisconsin",42.8417,75,0.4861,42.4
48,"Wyoming",40.425,48,-0.3223,40.7
